,Mean DALYs/$1000,0.15th-pct,1st-pct,5th-pct,25th-pct,50th-pct,75th-pct,95th-pct,99th-pct,99.85th-pct
Against Malaria,19.06,-9.54,-6.96,13.47,16.54,18.9,21.94,28.45,33.33,33.33
Chickens - Low Moral Weights,72.92,-127.46,-36.59,0.0,16.55,43.45,92.39,250.4,490.93,912.01
"Shrimp - Stunning, Low Moral Weights",0.47,-0.38,0.0,0.0,0.0,0.0,0.31,2.28,6.64,16.89
"Shrimp - Ammonia, Low Moral Weights",18.74,-29.62,-0.32,0.0,0.0,0.0,2.31,56.87,320.07,1470.55
Scenario 1,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scenario 2,43.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scenario 3,90.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scenario 4,198.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scenario 5,213.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scenario 6,370.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scenario 7,814.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scenario 8,399.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scenario 9,812.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scenario 10,8294.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scenario 11,66853.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13447362.9
Scenario 12,6427.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
