,"Mean, a = 1.54","Ambiguity averse, 1.5x weight to worst","Ambiguity averse, 2x weight to worst",fifth percentile,ninety fifth percentile,median
X-Risk - Scenario 11,-231279872678.85678,-251125421059.9292,-270970969441.00162,-444406945947.66064,-95896635521.12323,-207888445113.3625
X-Risk - Scenario 10,-232119024235.502,-251959644623.19537,-271800265010.88904,-445180669282.0162,-96767004893.13431,-208739403615.07797
CF campaign,-232124575968.59503,-251964626083.26898,-271804676197.9429,-445176244882.4752,-96777304714.32478,-208742507669.8015
X-Risk - Scenario 12,-232148502982.04904,-251989166462.2562,-271829829942.4634,-445211380307.9321,-96797695116.98718,-208765519689.65247
Shrimp - Ammonia,-232188397932.43103,-252028100469.55228,-271867803006.67307,-445243391376.01874,-96840982694.99904,-208806123285.19373
X-Risk - Scenario 7,-232228498257.78067,-252068520178.85284,-271908542099.92487,-445282357636.4777,-96880327524.70782,-208847308832.67566
X-Risk - Scenario 9,-232228959535.03674,-252068984711.11865,-271909009887.20062,-445278217539.0497,-96879708741.11812,-208847831734.1046
X-Risk - Scenario 8,-232234767333.099,-252074757238.21826,-271914747143.33774,-445288876017.2786,-96886060358.4302,-208853756005.93237
X-Risk - Scenario 6,-232235301976.9732,-252075287736.76828,-271915273496.56293,-445289633564.4951,-96885826895.40044,-208854438484.31894
X-Risk - Scenario 4,-232237985245.67722,-252077956663.10135,-271917928080.52524,-445291665802.5374,-96888912982.8196,-208856493580.3103
Shrimp - Stunning,-232238066928.76248,-252078028147.77728,-271917989366.79163,-445290763555.35626,-96888952681.94772,-208857464215.7019
X-Risk - Scenario 5,-232238069456.61887,-252078041037.2273,-271918012617.83585,-445291150450.6956,-96888627099.8083,-208857388320.41495
AMF,-232238763194.40515,-252078720326.5825,-271918677458.75974,-445291484153.3882,-96890190298.68298,-208857714965.32935
X-Risk - Scenario 3,-232239366778.5993,-252079330752.9431,-271919294727.28705,-445292935489.37067,-96890619975.90523,-208858396555.1172
X-Risk - Scenario 2,-232240153058.26126,-252080112997.42352,-271920072936.58594,-445293499285.4047,-96891430670.45795,-208859069788.385
X-Risk - Scenario 1,-232240411481.96335,-252080369990.00076,-271920328498.03845,-445293499285.4047,-96891440919.82588,-208859292434.15955
Nothing,-232240669147.58554,-252080626312.15494,-271920583476.72467,-445293525259.51874,-96892150150.81981,-208859596505.1053
